,name,track_uri,explicit,duration_ms,track_number,popularity,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,season,artists
71,Make Makeover,spotify:track:4A06lNo3fPHcy1DHEOzJWp,False,54279,12,26,9,1,4,0.263,0.882,0.932,0,0.0436,-5.326,0.394,0.712,155.021,Season 2,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']"
72,Triceratops Ballet - Medley,spotify:track:4si8RiyVeOcXJG3RH3yo7M,False,117614,13,21,5,1,3,0.955,0.331,0.183,0.589,0.164,-11.048,0.0396,0.0773,132.386,Season 2,['Crazy Ex-Girlfriend Cast']
73,Thought Bubbles,spotify:track:3PR9WXL0S0udX6TbEyGswI,False,143226,14,27,9,1,4,0.278,0.816,0.564,0,0.0875,-7.312,0.356,0.5,84.086,Season 2,"['Crazy Ex-Girlfriend Cast', 'Vincent Rodriguez III']"
74,Thought Bubbles - Reprise,spotify:track:0mUvucAIOAhDXc2CroB2pp,False,31152,15,22,4,1,4,0.686,0.71,0.219,0,0.0857,-10.467,0.462,0.0915,78.121,Season 2,"['Crazy Ex-Girlfriend Cast', 'Brittany Snow', 'Vincent Rodriguez III']"
75,Friendtopia,spotify:track:77U63uNecCW6UMZIGquuNk,False,113970,16,33,7,1,4,0.476,0.691,0.775,0,0.0748,-4.938,0.366,0.799,113.612,Season 2,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom', 'Vella Lovell', 'Gabrielle Ruiz']"
76,Trent Is Getting Ready Song,spotify:track:08rbp3lJlOw33nYqvPrxyR,False,29315,17,1,1,0,4,0.0757,0.766,0.548,0,0.123,-8.533,0.227,0.966,160.476,Season 2,"['Crazy Ex-Girlfriend Cast', 'Paul Welsh']"
77,Stuck in the Bathroom,spotify:track:0bRh7G89pzFhwENIxyZ8wM,False,116790,18,26,1,1,4,0.29,0.64,0.624,0,0.124,-5.516,0.0451,0.529,108.282,Season 2,"['Crazy Ex-Girlfriend Cast', 'Vella Lovell']"
78,Research Me Obsessively,spotify:track:7rPhKRFPiaxFJHAwlV53CP,False,140051,19,28,2,1,4,0.257,0.704,0.693,1.21e-06,0.353,-8.167,0.285,0.56,91.802,Season 2,"['Crazy Ex-Girlfriend Cast', 'Brittany Snow']"
79,You Go First,spotify:track:6QAN5o6hlJNBVtRi3BtV1v,False,123504,20,29,0,0,4,0.688,0.523,0.674,0,0.115,-4.115,0.0338,0.16,79.776,Season 2,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom', 'Donna Lynne Champlin']"
80,So Maternal,spotify:track:1nC4H8SOaAr4PZMkeNJvDD,False,115175,21,28,10,0,4,0.0682,0.789,0.736,0,0.0646,-4.682,0.314,0.686,116.407,Season 2,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom', 'Jamie Denbo']"
81,Duh!,spotify:track:5lXmIHqiCKBHPh3FF3lcQp,False,135399,22,23,5,1,4,0.0147,0.419,0.635,0,0.0892,-6.961,0.0506,0.334,95.144,Season 2,"['Crazy Ex-Girlfriend Cast', 'Vincent Rodriguez III']"
82,Who’s the New Guy?,spotify:track:6uCItvSImAX8GcLXpb7Uco,False,85676,23,29,7,0,4,0.397,0.941,0.377,0,0.0884,-9.298,0.271,0.611,125.013,Season 2,"['Crazy Ex-Girlfriend Cast', 'Donna Lynne Champlin', 'Danny Jolles', 'Michael McMillian', 'Esther Povitsky', 'Stephnie Weir']"
83,George’s Turn,spotify:track:3e3t2D3wf7pQNLDAy2mTmu,False,24999,24,0,6,1,3,0.672,0.488,0.575,0,0.0958,-4.652,0.0521,0.396,139.922,Season 2,"['Crazy Ex-Girlfriend Cast', 'Danny Jolles']"
84,We’ll Never Have Problems Again,spotify:track:1dUWMHiE7I27wl6OfIAC06,False,146279,25,32,1,1,4,0.271,0.765,0.798,0,0.9,-4.261,0.18,0.812,115.008,Season 2,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom', 'Vincent Rodriguez III']"
85,Remember That We Suffered,spotify:track:0CAd7KnMR1EVXnFBN1TuMx,False,88352,26,35,3,1,4,0.327,0.829,0.679,0,0.0687,-3.958,0.0603,0.973,142.022,Season 2,"['Crazy Ex-Girlfriend Cast', 'Patti LuPone', 'Tovah Feldshuh']"
86,"Santa Ana Winds, Pt. 1-5",spotify:track:5hpdD7bqjFw3k6scfC9ttb,False,252416,27,33,7,1,4,0.238,0.765,0.676,0,0.123,-4.858,0.0752,0.522,121.967,Season 2,"['Crazy Ex-Girlfriend Cast', 'Eric Michael Roy']"
87,Let’s Have Intercourse,spotify:track:5Qncni4cdDJIIGAYaTrTyU,False,134636,28,35,0,1,4,0.449,0.643,0.593,0,0.137,-7.019,0.124,0.364,157.944,Season 2,"['Crazy Ex-Girlfriend Cast', 'Scott Michael Foster']"
88,You’re My Best Friend (And I Know I’m Not Yours),spotify:track:4TzDUx0M627S2zbBSTEtY7,False,82102,29,27,7,1,4,0.83,0.893,0.394,0,0.12,-6.59,0.0635,0.7,134.835,Season 2,"['Crazy Ex-Girlfriend Cast', 'Pete Gardner']"
89,Man Nap,spotify:track:72v6v5odR1vHtZKUEfFXjM,False,82759,30,25,0,0,4,0.00187,0.687,0.87,0,0.32,-3.891,0.0358,0.807,113.985,Season 2,"['Crazy Ex-Girlfriend Cast', 'Pete Gardner']"
90,(Tell Me I’m Okay) Patrick,spotify:track:4PJmW6P2cEYKWj8SpSCget,False,149418,31,29,3,1,4,0.898,0.626,0.468,0,0.103,-6.195,0.189,0.323,56.329,Season 2,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']"
91,Period Sex,spotify:track:7xbX5YB2H6sWVy3PU9MLDr,False,88554,32,26,5,0,4,0.145,0.734,0.75,0,0.158,-5.489,0.086,0.833,149.071,Season 2,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']"
92,What a Rush to Be a Bride,spotify:track:7ESdXxvcZM2tAM5h9P1keo,False,89663,33,24,6,1,4,0.00405,0.608,0.759,0,0.531,-3.678,0.0607,0.425,92.542,Season 2,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom', 'Donna Lynne Champlin']"
93,Rebecca’s Reprise,spotify:track:6YfMkoFuTBLWzIiEZuM1f4,False,91496,34,28,6,1,4,0.937,0.605,0.215,0,0.159,-7.811,0.0893,0.501,89.499,Season 2,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']"
94,Sex Toys - Demo,spotify:track:2KYYuhtwpan6RS9txpUTX9,False,109886,35,16,6,1,4,0.954,0.639,0.485,0,0.932,-6.684,0.563,0.764,86.521,Season 2,"['Crazy Ex-Girlfriend Cast', 'Jack Dolgen']"
95,It's Not Difficult to Define Miss Douche - Demo,spotify:track:28f9xOgkLPHLJkaIcHFB1C,False,98277,36,14,10,1,3,0.881,0.714,0.46,0,0.721,-6.824,0.525,0.582,69.272,Season 2,"['Crazy Ex-Girlfriend Cast', 'Jack Dolgen']"
96,Santa Ana Winds 6am - Demo,spotify:track:2LAeTXTfBbhBdMGfssm4Vg,False,197453,37,15,5,1,5,0.794,0.606,0.331,0,0.368,-10.633,0.92,0.197,72.877,Season 2,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']"
97,I'm Just a Girl in Love - Demo,spotify:track:4BuPkGQcsFjIKRXAxGZ7in,False,25093,38,0,10,1,4,0.63,0.85,0.423,0,0.354,-8.2,0.0461,0.864,107.487,Season 2,"['Crazy Ex-Girlfriend Cast', 'Adam Schlesinger', 'Stephen M. Gold']"
98,Rebecca's Reprise - Demo,spotify:track:3wzaWFqYxXmu9BgqR3zih7,False,74716,39,15,5,1,4,0.963,0.45,0.402,0.046,0.118,-5.824,0.0604,0.492,80.516,Season 2,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']"
99,Where’s Rebecca Bunch?,spotify:track:5LQXqNQdOMGEbl5sCqw6Uz,False,240312,1,0,9,0,4,0.755,0.638,0.606,0,0.0568,-6.684,0.0645,0.338,89.953,,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']"
