X1,name,track_uri,explicit,duration_ms,track_number,popularity,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,season,artists,song_name_lower
151,"Hello, Nice To Meet You - Reprise #2",spotify:track:1CKPVc1xIwavoYFeyTj6Ua,FALSE,54407,3,23,2,1,4,0.968,0.622,0.0873,0,0.0821,-10.525,0.0668,0.648,79.746,Season 4,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']",hello nice to meet you  reprise 2
152,Gratuitous Karaoke Moment (feat. Scott Michael Foster and Esther Povitsky) [From Crazy Ex-Girlfriend: Season 4],spotify:track:1KQEg4B5FTCI5i4rKaWJPE,FALSE,132753,1,23,4,1,4,0.689,0.796,0.895,0,0.0897,-2.283,0.0698,0.964,142.886,Season 4,"['Crazy Ex-Girlfriend Cast', 'Scott Michael Foster', 'Esther Povitsky']",gratuitous karaoke moment 
153,I Hate Everything But You,spotify:track:6t2N4G1uG9aLknCh6IBzKu,FALSE,167400,1,33,2,1,4,0.29,0.726,0.896,0,0.103,-4.207,0.0842,0.787,141.06,Season 4,"['Crazy Ex-Girlfriend Cast', 'Skylar Astin']",i hate everything but you
154,I’m Not Sad You’re Sad,spotify:track:3ig70B4TxSs0OjFIiuEEZz,TRUE,93930,2,25,8,1,4,0.23,0.916,0.84,0,0.352,-3.794,0.248,0.525,120.937,Season 4,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']",im not sad youre sad
155,The Darkness,spotify:track:5TsKY4xF5MMLFim6QomMpQ,FALSE,156298,3,27,0,1,4,0.585,0.573,0.48,0,0.135,-4.859,0.039,0.256,79.336,Season 4,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']",the darkness
156,Anti-Depressants Are So Not A Big Deal,spotify:track:5WMR9p1nGozW33CGGYmjTM,FALSE,204216,1,34,11,0,4,0.529,0.743,0.687,0,0.117,-4.592,0.171,0.633,127.792,Season 4,['Crazy Ex-Girlfriend Cast'],antidepressants are so not a big deal
157,End Of The Movie (feat. Rachel Bloom) - Reprise,spotify:track:304OpPwQnFsV3vZxz1wzpJ,FALSE,83328,2,28,2,1,3,0.797,0.504,0.466,0,0.171,-7.422,0.159,0.249,79.708,Season 4,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']",end of the movie 
158,"Let Me Be In Your Show (feat. Rachel Bloom, Michael McMillian, & Gabrielle Ruiz)",spotify:track:3ABItCtAp5UX3YB3ECB01d,FALSE,39729,1,25,8,0,4,0.861,0.604,0.553,0,0.308,-5.223,0.292,0.757,170.893,Season 4,"['Crazy Ex-Girlfriend Cast', 'Gabrielle Ruiz', 'Michael McMillian', 'Rachel Bloom']",let me be in your show 
159,Etta Mae's Lament (feat. Rachel Bloom),spotify:track:0wofhmRg9pEtQTyxiXbyLv,FALSE,87090,2,28,7,1,4,0.882,0.919,0.459,0,0.151,-4.393,0.072,0.884,129.067,Season 4,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']",etta maes lament 
160,Apple Man (feat. Michael McMillian),spotify:track:5EfLy0zGCo6Z5xOAxj5WF9,FALSE,61887,3,27,10,1,4,0.902,0.875,0.585,0,0.111,-5.3,0.0832,0.893,95.817,Season 4,"['Crazy Ex-Girlfriend Cast', 'Michael McMillian']",apple man 
161,The Tick Tock Clock,spotify:track:3GlxS7Wu407lfhhOCaS6Yc,FALSE,37085,4,25,3,0,3,0.851,0.749,0.426,0,0.088,-5.068,0.101,0.858,180.309,Season 4,['Crazy Ex-Girlfriend Cast'],the tick tock clock
162,I'm The Bride Of The Pirate King (feat. Gabrielle Ruiz),spotify:track:2SRRO10Itk8rbJaY2iJeEo,FALSE,92488,5,28,1,1,3,0.972,0.55,0.369,0,0.273,-6.453,0.323,0.56,173.146,Season 4,"['Crazy Ex-Girlfriend Cast', 'Gabrielle Ruiz']",im the bride of the pirate king 
163,Etta Mae's Lament (feat. Scott Michael Foster) - Revised,spotify:track:27VbBffOk4GL7osvbkXcyF,FALSE,32626,6,25,7,1,4,0.823,0.828,0.544,0,0.0593,-5.052,0.0473,0.885,64.413,Season 4,"['Crazy Ex-Girlfriend Cast', 'Scott Michael Foster']",etta maes lament 
164,What'll It Be? (feat. Skylar Astin) - Reprise,spotify:track:59Qjz1JAFB1SmLktcT05x1,FALSE,62462,7,33,0,1,3,0.934,0.475,0.199,0,0.283,-8.189,0.0717,0.295,165.104,Season 4,"['Crazy Ex-Girlfriend Cast', 'Skylar Astin']",whatll it be 
165,"The Math Of Love Quadrangles (feat. Rachel Bloom, Skylar Astin, Scott Michael Foster, & Vincent Rodriguez III)",spotify:track:5uxq1Cg69R8RyZF3vfITv6,FALSE,62225,1,30,5,1,4,0.686,0.697,0.42,0,0.0778,-7.537,0.111,0.752,104.085,Season 4,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom', 'Scott Michael Foster', 'Skylar Astin', 'Vincent Rodriguez III']",the math of love quadrangles 
166,"Slow Motion (feat. Rachel Bloom, Donna Lynne Champlin, Vella Lovell, & Gabrielle Ruiz)",spotify:track:3ebOMmzZ9dqHWda18swD5M,FALSE,117584,2,31,7,0,4,0.247,0.759,0.631,1.79e-6,0.175,-7.667,0.245,0.515,95.01,Season 4,"['Crazy Ex-Girlfriend Cast', 'Donna Lynne Champlin', 'Gabrielle Ruiz', 'Rachel Bloom', 'Vella Lovell']",slow motion 
167,"Slow Motion (feat. Rachel Bloom, Donna Lynne Champlin, Rachel Grate, Vella Lovell, & Gabrielle Ruiz) - Reprise",spotify:track:5XvbNIW0QeZsbqp98GFHDr,FALSE,71085,3,27,9,0,4,0.208,0.785,0.585,4.31e-5,0.0884,-8.174,0.167,0.482,95.032,Season 4,"['Crazy Ex-Girlfriend Cast', 'Donna Lynne Champlin', 'Gabrielle Ruiz', 'Rachel Bloom', 'Rachel Grate', 'Vella Lovell']",slow motion 
168,JAP Battle (feat. Rachel Bloom & Rachel Grate) - Reprise,spotify:track:4gbTVbtCzQxd3kUSsBk3vb,FALSE,139836,4,29,0,1,4,0.139,0.904,0.655,0,0.101,-6.17,0.368,0.806,95.94,Season 4,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom', 'Rachel Grate']",jap battle 
169,Love's Not A Game,spotify:track:4VHWWDcPdhuuW8iW3jHLqM,FALSE,195699,1,30,0,0,4,0.363,0.644,0.59,0,0.363,-4.551,0.0703,0.543,143.744,Season 4,['Crazy Ex-Girlfriend Cast'],loves not a game
170,Love's Not A Game (feat. Rachel Bloom),spotify:track:4N82UJHKqd9BPZyRhkeWyN,FALSE,59432,2,24,0,1,3,0.969,0.843,0.276,0,0.188,-9.15,0.149,0.597,117.118,Season 4,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']",loves not a game 
