rank,song_name
2,the math of love triangles
1,it was a shit show
1,this is the end of the movie josh grooobannnn
2,love kernels
3,lets generalize about men
4,whats your story
5,you stupid bitch
1,face your fears
2,you stupid bitch
3,i gave you a uti
5,it was a shitshow
1,lets generalize about men
2,fit hot guys have problems too
3,settle for me
4,santa ana winds
5,hello its nice to meet you
1,we tapped that ass
2,we tapped that ass
3,we tapped that ass
4,we tapped that ass
5,we tapped that ass
1,i give good parent
2,first penis i saw
3,sexy getting ready song
4,sexy french depression
5,maybe shes not such a heinous bitch after all crazyexgirlfriend 
1,strip away my conscious
2,getting bi
3,love kernels
4,jap battle
5,the math of lovetriangles
1,settle for me
2,it was a shitshow
3,whatll it be
4,feeling kinda naughty
5,santa ana winds
1,jap battle
2,lets generalize about men
3,i could if i wanted to
4,love kernels
5,feelin kinda naughty
5,lets have intercourse
3,we tapped that ass
2,gregs drinking song
1,lets generalise about men
1,santa ana winds
2,rabbi shari
3,colin crowley
5,josh grobaaaaann
1,apple man
2,math of love triangles
3,it was a shit show
4,a diagnosis
5,after everything ive done for you that you didnt ask for
2,josh he fine
4,changed greg
2,audra levine
4,naomi bunch
5,father brah please my father was mr
1,lourdes chan
2,young rebecca
4,scott proctor
5,grocery clerk with half an eyelid
2,old greg
1,hello nice to meet you
2,i gave you a uti
3,the group mind has decided youre in love
4,the math of love triangles
5,im a good person censored version
2,a diagnosis
2,im a good person
3,oh my god i think i like you
4,ping pong girl
5,love kernels
1,lets generalize about men
2,i go to the zoo
3,the miracle of birth
4,we tapped that ass
5,oh my god i think i like you
5,i give good parent
2,im the villain in my own story
3,i go to the zoo
4,no one else is singing my song
5,antidepressants are so not a big deal
1,im a good person
2,first penis i saw
3,fuckton of cats
4,a diagnosis
5,dont be a lawyer
5,lets generalise about men
4,we tapped that ass
2,oh my god i think i like you
1,you stupid bitch
1,you stupid bitch
2,dream ghosts
3,settle for me
4,boyband made up of four joshs
5,im a good person
1,california christmastime
2,the buzzing from the bathroom
3,first penis i saw
4,lets generalize about me
5,santa ana winds
1,a diagnosis
2,you stupid bitch
3,maybe this dream
4,face your fears
5,this session is going to be different
1,oh my god i think i like you
2,settle for me
3,we tapped that ass
4,a boy band made up of four joshes
5,jap battle
1,love kernels
1,after everything ive done for you that you didnt ask for
1,wheres the bathroom
5,strip away my conscience
4,face your fears
1,could if i wanted to
1,im a good person
2,lets generalize about men
3,hello nice to meet you
4,ping pong girl
4,jap battle
1,lets generalise about men
2,feelin kinda naughty
3,research me
4,im so good at yoga
5,i want to be a child star
1,the moment is me
2,i go to the zoo
3,put yourself first
4,research me obsessively
5,well never have problems again
1,a diagnosis
2,heinous bitch
3,we tapped that ass
